EP_ind;source;source type;input vector/activity;activity type;output vector/activity;carrier/technology;carrier/technology type;attribute name
inv_cost;;;Desalination;Costs;annual investment;Water storage;;Water storage
inv_cost;;;Liquid and gas fuels;Costs;annual investment;Liquid and gas storage;;Gas Storage
inv_cost;;;Liquid and gas fuels;Costs;annual investment;Liquid and gas storage;;Oil Storage
inv_cost;;;Liquid and gas fuels;Costs;annual investment;Liquid and gas storage;;Methanol Storage
inv_cost;;;Heat and electricity;Costs;annual investment;Interconnection;;Interconnection
inv_cost;;;Renewable energy;Costs;annual investment;Geothermal;;Geothermal Heat
inv_cost;;;Renewable energy;Costs;annual investment;Excess heat;;Indust. Excess Heat
inv_cost;;;Heat and electricity;Costs;annual investment;Heat and power (CHP & PP);;Indust. CHP Electr.
inv_cost;;;Heat and electricity;Costs;annual investment;Heat and power (CHP & PP);;Indust. CHP Heat
inv_cost;;;Heat and electricity;Costs;annual investment;Boilers (DH);;Electr Boiler Gr 2+3
inv_cost;;;Road Vehicles;Costs;annual investment;Transport vehicles;;Bicycles
inv_cost;;;Road Vehicles;Costs;annual investment;Transport vehicles;;Motorbikes
inv_cost;;;Road Vehicles;Costs;annual investment;Transport vehicles;;Electric Cars
inv_cost;;;Road Vehicles;Costs;annual investment;Transport vehicles;;Conventional Cars
inv_cost;;;Road Vehicles;Costs;annual investment;Transport vehicles;;DME Buses
inv_cost;;;Road Vehicles;Costs;annual investment;Transport vehicles;;Diesel Buses
inv_cost;;;Road Vehicles;Costs;annual investment;Transport vehicles;;DME Trucks
inv_cost;;;Road Vehicles;Costs;annual investment;Transport vehicles;;Diesel Trucks
inv_cost;;;Heat and electricity;Costs;annual investment;Electricity storage;;El1 storage cap
inv_cost;;;Renewable heat;Costs;fixed OM;Fixed O&M;;Solar thermal
inv_cost;;;Heat and electricity;Costs;fixed OM;Fixed O&M;;Small CHP units
inv_cost;;;Heat and electricity;Costs;fixed OM;Fixed O&M;;Heat Pump gr. 2
inv_cost;;;Heat and electricity;Costs;fixed OM;Fixed O&M;;Heat Storage CHP
inv_cost;;;Heat and electricity;Costs;fixed OM;Fixed O&M;;Large CHP units
inv_cost;;;Heat and electricity;Costs;fixed OM;Fixed O&M;;Heat Pump gr. 3
inv_cost;;;Heat and electricity;Costs;fixed OM;Fixed O&M;;Heat Storage Solar
inv_cost;;;Heat and electricity;Costs;fixed OM;Fixed O&M;;Boilers gr. 2 and 3
inv_cost;;;Heat and electricity;Costs;fixed OM;Fixed O&M;;Large Power Plants
inv_cost;;;Renewable energy;Costs;fixed OM;Fixed O&M;;Wind
inv_cost;;;Renewable energy;Costs;fixed OM;Fixed O&M;;Wind offshore
inv_cost;;;Renewable energy;Costs;fixed OM;Fixed O&M;;Photo Voltaic
inv_cost;;;Renewable energy;Costs;fixed OM;Fixed O&M;;Wave power
inv_cost;;;Renewable energy;Costs;fixed OM;Fixed O&M;;River of hydro
inv_cost;;;Renewable energy;Costs;fixed OM;Fixed O&M;;Hydro Power
inv_cost;;;Renewable energy;Costs;fixed OM;Fixed O&M;;Hydro Storage
inv_cost;;;Renewable energy;Costs;fixed OM;Fixed O&M;;Hydro Pump
inv_cost;;;Renewable energy;Costs;fixed OM;Fixed O&M;;Nuclear
inv_cost;;;Renewable energy;Costs;fixed OM;Fixed O&M;;Geothermal Electr.
inv_cost;;;Liquid and gas fuels;Costs;fixed OM;Fixed O&M;;Electrolyser
inv_cost;;;Liquid and gas fuels;Costs;fixed OM;Fixed O&M;;Hydrogen Storage
inv_cost;;;Heat and electricity;Costs;fixed OM;Fixed O&M;;Charge el1 storage
inv_cost;;;Heat and electricity;Costs;fixed OM;Fixed O&M;;Discharge el1 storage
inv_cost;;;Heat and electricity;Costs;fixed OM;Fixed O&M;;El1 storage cap
inv_cost;;;Individual heat;Costs;fixed OM;Fixed O&M;;Indv. boilers
inv_cost;;;Individual heat;Costs;fixed OM;Fixed O&M;;Indv. CHP
inv_cost;;;Individual heat;Costs;fixed OM;Fixed O&M;;Indv. Heat Pump
inv_cost;;;Individual heat;Costs;fixed OM;Fixed O&M;;Indv. Electric heat
inv_cost;;;Individual heat;Costs;fixed OM;Fixed O&M;;Indv. Solar thermal
inv_cost;;;Liquid and gas fuels;Costs;fixed OM;Fixed O&M;;BioGas Upgrade
